"name","award_criteria","unique_values","internal_id","internal_name","internal_category","num_of_tiers","tier_1","tier_2","tier_3","tier_4","tier_5","reward_tier_1","reward_tier_2","reward_tier_3","reward_tier_4","reward_tier_5","reward_tier_6","sequential","version","unique_entry_id"
"(island name) Miles!","Awarded when Nook Miles program is first unlocked",1.0,53.0,"ImmigratetoIsland","Event",1.0,1.0,0.0,0.0,0.0,0.0,500.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","QvQq6d4qJgCiBkMLX"
"Angling for Perfection!","Number of total fish caught",2.0,0.0,"CatchFish","Fish",5.0,10.0,100.0,500.0,2000.0,5000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","wkj9WzycBpxtq6CDG"
"Island Ichthyologist","Number of unique fish caught",3.0,3.0,"FillFishList","Fish",5.0,10.0,20.0,40.0,60.0,80.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","Ajpkv8wXcZLqM8bMT"
"Island Togetherness","Number of days in which you've talked to every one of your villagers",4.0,68.0,"GreetAllVillager","Communication",5.0,1.0,10.0,20.0,30.0,50.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","syoxyxWL7ymwpKpGN"
"You've Got the Bug","Number of total bugs caught",5.0,1.0,"CatchInsect","Insect",5.0,10.0,100.0,500.0,2000.0,5000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","weJ4f9MDdBuzLBrBM"
"Bugs Don't Bug Me","Number of unique bugs caught",6.0,4.0,"FillInsectList","Insect",5.0,10.0,20.0,40.0,60.0,80.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","ttRSm74XC4MzSHgnX"
"Have a Nice DIY!","Number of DIY recipes collected",7.0,55.0,"FillRecipeList","DIY",5.0,10.0,50.0,100.0,150.0,200.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","fsanquagmfwNCY8wW"
"DIY Tools","Number of tools you've crafted",8.0,72.0,"DIYTool","DIY",5.0,5.0,50.0,200.0,1000.0,3000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","6k5CnRgbm55m93jMT"
"DIY Furniture","Number of furniture pieces you've crafted",9.0,73.0,"DIYFurniture","DIY",5.0,5.0,50.0,200.0,1000.0,3000.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","TprrYjwsCvZbDdcvK"
"Furniture Freshener","Number of times you've customized furniture at a workbench",10.0,14.0,"RemakeFurniture","DIY",5.0,5.0,20.0,50.0,100.0,200.0,300.0,500.0,1000.0,2000.0,3000.0,0.0,"Yes","1.0.0","viHJXo8XB8C3h259Q"
