"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"acorn pochette","Brown","Yes","NFS",2400.0,"Brown","Green","1x1","NA","Crafting",,"All Year","1.0.0","Cute","fairy tale","No","Not for sale","BagShoulderAcorn0",7492.0,"XiC7bNzTBAdb8zWwr"
"basket pack","Green","Yes","NFS",2400.0,"Green","Green","1x1","NA","Crafting",,"All Year","1.0.0","Simple","outdoorsy; work","No","Not for sale","BagBackpackBasket0",7506.0,"BW764rj9aH3QL6GRH"
"bug cage","Green","No","NFS",122.0,"Green","White","1x1","NA","Bug-Off",,"All Year","1.0.0","Active","outdoorsy; vacation","No","Not for sale","BagShoulderCage0",7479.0,"nrkEKkL46YsQYcYjp"
"Bunny Day bag","None","Yes","NFS",2400.0,"Colorful","Colorful","1x1","NA","Crafting",,"All Year","1.1.0a","Active","fairy tale; party; theatrical","No","Not for sale","BagBackpackEgg0",12447.0,"YGofzAZknSTYWmfWM"
"butterfly backpack","Pink","No","NFS",210.0,"Pink","Yellow","1x1","NA","Bug-Off",,"All Year","1.0.0","Cute","everyday; formal; party","No","Not for sale","BagBackpackButterfly0",7502.0,"unsmeHZemRaTnq62z"
"canvas backpack","White","No","1300",325.0,"White","Orange","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday","No","For sale","BagBackpackTote0",7509.0,"ZtgYddBwpZfGMjewu"
"cherry-blossom pochette","Pink","Yes","NFS",2400.0,"Pink","Pink","1x1","NA","Crafting",,"All Year","1.0.0","Cute","fairy tale","No","Not for sale","BagShoulderCherryblossoms0",7490.0,"wwkZdhj9HzxZiqHys"
"cloth shoulder bag","Blue","No","1400",350.0,"Light blue","Light blue","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday","No","For sale","BagShoulderCanvas0",7487.0,"DzoRrArWrKtzn6Xzc"
"cloth shoulder bag","Orange","No","1400",350.0,"Orange","Orange","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday","No","For sale","BagShoulderCanvas1",12013.0,"dcpCgBwji4QCYAy8k"
"cloth shoulder bag","Ivory","No","1400",350.0,"White","White","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday","No","For sale","BagShoulderCanvas2",12014.0,"NfkYKg5NoaWKBEpzN"
"crossbody bag","Pink","No","700",175.0,"Pink","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackBody0",7483.0,"zXtyCFHwWjnChTami"
"crossbody bag","Green","No","700",175.0,"Green","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackBody1",11980.0,"tbfNwy8RmGztJdAnn"
"crossbody bag","Yellow","No","700",175.0,"Yellow","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackBody2",11981.0,"zX6ZX4puTojGuJgGj"
"crossbody bag","White","No","700",175.0,"White","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackBody3",11982.0,"FsyHb5QAf8DDvPC7y"
"crossbody boston bag","Red","No","1680",420.0,"Red","Black","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; outdoorsy; sporty","No","For sale","BagShoulderDrum0",7485.0,"8MwDxuHHvYM3XJpmy"
"crossbody boston bag","Blue","No","1680",420.0,"Blue","Black","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; outdoorsy; sporty","No","For sale","BagShoulderDrum1",12011.0,"w98ZrTQWiRMHyveaa"
"DAL backpack","Blue","No","NFS",1010.0,"Blue","Black","1x1","NA","Dodo Airlines","Received in mail from DAL after taking certain numbers of flights","All Year","1.0.0","Cool","outdoorsy; vacation","No","Not for sale","BagBackpackDal0",12131.0,"3mGmqSPj5YPujiDgD"
"dry bag","Yellow","No","1040",260.0,"Yellow","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackDry0",7471.0,"iwTpuxykXjSBi8b9a"
"dry bag","Blue","No","1040",260.0,"Blue","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackDry1",11964.0,"cMoNDoZx2sdfD6Haz"
"evening bag","Pink","No","1250",312.0,"Pink","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Cute","formal; party","No","For sale","BagShoulderParty0",7305.0,"tZhGqzKpEeEweTZi7"
"evening bag","Blue","No","1250",312.0,"Blue","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Cute","formal; party","No","For sale","BagShoulderParty1",11976.0,"SoJkNi7GNiW28tYuG"
"evening bag","Black","No","1250",312.0,"Black","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Cute","formal; party","No","For sale","BagShoulderParty2",11977.0,"x9Z63uLS8cHdsoczj"
"extra-large backpack","Red","No","2100",525.0,"Red","Red","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackMountain0",7505.0,"sjT2tZJCMpWQNmhTy"
"extra-large backpack","Green","No","2100",525.0,"Green","Green","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackMountain1",11971.0,"MKeBKrETSTs4tyrg4"
"extra-large backpack","Black","No","2100",525.0,"Black","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackMountain2",11972.0,"HqReXLwGPigWMiJbS"
"extra-large backpack","Blue","No","2100",525.0,"Blue","Blue","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackMountain3",11973.0,"vvEqA5aMBGyycpQFz"
"faux-fur bag","Pink","No","1400",350.0,"Pink","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Cute","formal; party","No","For sale","BagShoulderFakefur0",7480.0,"FyneYzGmHW7SyoHn7"
"faux-fur bag","Purple","No","1400",350.0,"Purple","Yellow","1x1","NA","Kicks",,"All Year","1.0.0","Cute","formal; party","No","For sale","BagShoulderFakefur1",12003.0,"gH3fn5rkmCrekWoJB"
"fish pochette","Blue","No","NFS",210.0,"Light blue","Blue","1x1","NA","Fishing Tourney",,"All Year","1.0.0","Cute","formal; party","No","Not for sale","BagShoulderFish0",7477.0,"CrFcdF3rXiaiiajEB"
"foldover-top backpack","Green","No","1300",325.0,"Green","Beige","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackLid0",7507.0,"nkXJ2eRThdt4vEpFb"
"foldover-top backpack","Blue","No","1300",325.0,"Blue","Light blue","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackLid1",12016.0,"M8i2DNwxgXKWADAtW"
"foldover-top backpack","Gray","No","1300",325.0,"Gray","White","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackLid2",12017.0,"Z8WFCNZodHtW2DBPB"
"foldover-top backpack","Pink","No","1300",325.0,"Pink","Purple","1x1","NA","Kicks",,"All Year","1.0.0","Active","outdoorsy; sporty","No","For sale","BagBackpackLid3",12018.0,"nD9TYBr8sw4rhLAyG"
"gumdrop shoulder bag","Pop","No","2000",500.0,"Pink","Green","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; comfy","No","For sale","BagShoulderPattern0",7486.0,"mQZCwxcr6z3hq5Dgm"
"gumdrop shoulder bag","Cool","No","2000",500.0,"Purple","Light blue","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; comfy","No","For sale","BagShoulderPattern1",12012.0,"JxHQbqWH73Q3GYKT8"
"hand-knit pouch","Green","No","1250",312.0,"Green","Green","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","vacation","No","For sale","BagShoulderRace0",7482.0,"taTKqY3xif2LhShrf"
"hand-knit pouch","Purple","No","1250",312.0,"Purple","Purple","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","vacation","No","For sale","BagShoulderRace1",12004.0,"GLLrMeJCPd8Xn7fdr"
"hard-shell backpack","Blue","No","1680",420.0,"Blue","Black","1x1","NA","Kicks",,"All Year","1.0.0","Cool","outdoorsy; work","No","For sale","BagBackpackHardshell0",7512.0,"LETQjE3yFDKze4ntv"
"hard-shell backpack","Red","No","1680",420.0,"Red","Black","1x1","NA","Kicks",,"All Year","1.0.0","Cool","outdoorsy; work","No","For sale","BagBackpackHardshell1",10184.0,"qdP3rmZ7P7HgA2cin"
"hard-shell backpack","Silver","No","1680",420.0,"Gray","Black","1x1","NA","Kicks",,"All Year","1.0.0","Cool","outdoorsy; work","No","For sale","BagBackpackHardshell2",11946.0,"yxnDx8JQqzZDM66oR"
"knapsack","Blue","No","630",157.0,"Blue","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackKnapsack0",7508.0,"XbKqQChpAJXng37Mr"
"knapsack","Black","No","630",157.0,"Black","Black","1x1","NA","Kicks",,"All Year","1.0.0","Active","everyday; outdoorsy; sporty","No","For sale","BagBackpackKnapsack1",12019.0,"Fx4M2zpFTWGww54rw"
"knitted-grass backpack","Green","Yes","NFS",400.0,"Green","Brown","1x1","NA","Crafting",,"All Year","1.0.0","Elegant","outdoorsy; comfy; vacation","No","Not for sale","BagBackpackGrass0",7511.0,"xM5iaYn4gbZoR94Qm"
"log pack","Brown","Yes","NFS",960.0,"Brown","Beige","1x1","NA","Crafting",,"All Year","1.0.0","Simple","fairy tale; outdoorsy","No","Not for sale","BagBackpackWood0",7498.0,"rDDM48hSfsSbcp92u"
"maple-leaf pochette","Red","Yes","NFS",2400.0,"Orange","Orange","1x1","NA","Crafting",,"All Year","1.0.0","Simple","fairy tale","No","Not for sale","BagShoulderMaple0",7491.0,"HJDH4dCPMQY9qQanL"
"messenger bag","Green","No","840",210.0,"Green","Black","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; outdoorsy; sporty","No","For sale","BagShoulderMessenger0",7470.0,"7mPZ9PnTd46r65DXx"
"messenger bag","Orange","No","840",210.0,"Orange","Black","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; outdoorsy; sporty","No","For sale","BagShoulderMessenger1",11978.0,"sgxnCe87EdtdoKved"
"messenger bag","Black","No","840",210.0,"Black","Black","1x1","NA","Kicks",,"All Year","1.0.0","Simple","everyday; outdoorsy; sporty","No","For sale","BagShoulderMessenger2",11979.0,"ZuwiM4DzJF5Rsg46x"
"mini pleather bag","White","No","1600",400.0,"White","White","1x1","NA","Kicks",,"All Year","1.0.0","Elegant","everyday; formal; party","No","For sale","BagBackpackSmall0",7504.0,"FyrYDDhzABDegtZ6n"
