"name","variation","diy","buy","sell","color_1","color_2","size","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"acid-washed jeans","Blue","No","1320",330.0,"Blue","Blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalChemical0",5286.0,"QaecPktemD3XuFdwy"
"acid-washed jeans","Black","No","1320",330.0,"Black","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","No","For sale","BottomsTexPantsNormalChemical1",11385.0,"a7HNjgRFkCznkDLLH"
"animal-stripes skirt","Tiger","No","1100",275.0,"Yellow","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday","No","For sale","BottomsTexSkirtBoxStripe0",9842.0,"qmtHwBmtJDvtNntTs"
"animal-stripes skirt","Zebra","No","1100",275.0,"Gray","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Cool","everyday","No","For sale","BottomsTexSkirtBoxStripe1",12067.0,"4mDRmSG3scfXh3oon"
"apron skirt","Purple","No","700",175.0,"White","Purple","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","work","No","For sale","BottomsTexSkirtBoxApron0",5710.0,"MtsvEMQ9Z9damsycd"
"apron skirt","Blue","No","700",175.0,"White","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","work","No","For sale","BottomsTexSkirtBoxApron1",8921.0,"cfzi35RpY8onR3hra"
"apron skirt","Beige","No","700",175.0,"White","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","work","No","For sale","BottomsTexSkirtBoxApron2",8922.0,"AmWS5iMbatqDr2eLs"
"athletic pants","Red","No","880",220.0,"Red","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsNormalJersey0",3311.0,"iL9vd8DerEEJDJQbA"
"athletic pants","Green","No","880",220.0,"Green","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsNormalJersey1",11295.0,"Ygp8L2zeem8ECZroK"
"athletic pants","Black","No","880",220.0,"Black","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsNormalJersey2",11296.0,"8NcTmEpkckocYvTf2"
"athletic pants","Blue","No","880",220.0,"Blue","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsNormalJersey3",11297.0,"R6apb74ivZCDbvEvi"
"athletic pants","Berry red","No","880",220.0,"Red","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsNormalJersey4",11298.0,"HSgcZgAkXCBroWboG"
"athletic pants","Navy blue","No","880",220.0,"Blue","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsNormalJersey5",11299.0,"zauG7p57gDAPSqPH4"
"athletic shorts","Red","No","560",140.0,"Red","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsHalfJersey0",4518.0,"Pz4KvZgNanynj88ut"
"athletic shorts","Green","No","560",140.0,"Green","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsHalfJersey1",11905.0,"Cgi5fvfgm5YEdCpNu"
"athletic shorts","Black","No","560",140.0,"Black","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsHalfJersey2",11906.0,"XZyRpyaiPbfw5nwTD"
"athletic shorts","Blue","No","560",140.0,"Blue","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsHalfJersey3",11907.0,"omNsW8d3EgoAs3tLL"
"athletic shorts","Berry red","No","560",140.0,"Red","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsHalfJersey4",11908.0,"QWxKgGJSnKgHEyz5Y"
"athletic shorts","Navy blue","No","560",140.0,"Blue","White","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","outdoorsy; comfy; sporty","No","For sale","BottomsTexPantsHalfJersey5",11909.0,"wkX3PL2R5dYC8PNJ2"
"basketball shorts","Purple","No","980",245.0,"Purple","Yellow","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball0",5720.0,"yTsGx7eQh4JWNdXB2"
"basketball shorts","Red","No","980",245.0,"Red","Black","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball1",11307.0,"TpYJQMq2Z8tEkK2Wd"
"basketball shorts","Green","No","980",245.0,"Green","Orange","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball2",11308.0,"KCggjKmE8js3MG6bq"
"basketball shorts","Orange","No","980",245.0,"Orange","Blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball3",11309.0,"iHFbTwYkKaqut6RnX"
"basketball shorts","Blue","No","980",245.0,"Blue","Red","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball4",11310.0,"4iB4fmJjkKNNzWJBS"
"basketball shorts","Yellow","No","980",245.0,"Yellow","Green","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball5",11311.0,"zjahPrxJ4ZBRcnq74"
"basketball shorts","Light blue","No","980",245.0,"Light blue","Blue","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball6",11312.0,"iDr7MMuWGDqgsh5Be"
"basketball shorts","Black","No","980",245.0,"Black","Red","1x1","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Active","sporty; work","No","For sale","BottomsTexPantsHalfBasketball7",11313.0,"gRj6pG26jHFQZB8TA"
"bell-bottoms","Orange","No","1320",330.0,"Orange","Orange","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday","No","For sale","BottomsTexPantsWideBellbottoms0",4364.0,"sAGeX7YksW4qTsRz9"
"bell-bottoms","Brown","No","1320",330.0,"Brown","Brown","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday","No","For sale","BottomsTexPantsWideBellbottoms1",9270.0,"AhZR3qCS8owvTgWS9"
"bell-bottoms","Beige","No","1320",330.0,"Beige","Beige","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday","No","For sale","BottomsTexPantsWideBellbottoms2",9271.0,"h5fKoKik2BmT6JPAb"
"bell-bottoms","Green","No","1320",330.0,"Green","Green","1x1","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Gorgeous","everyday","No","For sale","BottomsTexPantsWideBellbottoms3",9272.0,"tn3suswYrh2ZcD649"
"bell-bottoms","Blue","No","1320",330.0,"Blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Gorgeous","everyday","No","For sale","BottomsTexPantsWideBellbottoms4",9273.0,"mRdLrYzxuYuP7yqB9"
