"name","variation","diy","buy","sell","color_1","color_2","size","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","primary_shape","secondary_shape","filename","internal_id","unique_entry_id"
"academy uniform","Navy blue","No","2080",520.0,"Blue","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal; party","Yes","For sale","Box","L","TopsTexOnepieceBoxLYosoiki0",2699.0,"yfbZu5Nj6wtJSnuDW"
"academy uniform","Gray","No","2080",520.0,"Gray","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal; party","Yes","For sale","Box","L","TopsTexOnepieceBoxLYosoiki1",9016.0,"zbKRm5Cv5dyiz3y35"
"academy uniform","Red","No","2080",520.0,"Red","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal; party","Yes","For sale","Box","L","TopsTexOnepieceBoxLYosoiki2",9017.0,"3FSAsaikyEjHkLWcM"
"adventure dress","Blue","No","2800",700.0,"Light blue","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","fairy tale","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHStrangeBlue",3686.0,"AQZFR4Bzob9Phsr9R"
"alpinist dress","Green","No","2520",630.0,"Green","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","everyday; formal","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHTyrolean0",3168.0,"rN77JmGnpSNNeQogP"
"alpinist dress","Blue","No","2520",630.0,"Blue","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","everyday; formal","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHTyrolean1",8615.0,"zkWYtfW3WeDbdSQuy"
"alpinist dress","Red","No","2520",630.0,"Red","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cute","everyday; formal","Yes","For sale","Balloon","H","TopsTexOnepieceBalloonHTyrolean2",8616.0,"TkEkCuYTjTEu38axs"
"alpinist overalls","Green","No","2520",630.0,"Green","White","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","Overall","H","TopsTexOnepieceOverallHTyrolean0",4443.0,"vzaWMkA2s7R6SefHa"
"alpinist overalls","Blue","No","2520",630.0,"Blue","Light blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","Overall","H","TopsTexOnepieceOverallHTyrolean1",8631.0,"onM7CM229PHZyRjPd"
"alpinist overalls","Red","No","2520",630.0,"Red","Pink","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","everyday; formal","Yes","For sale","Overall","H","TopsTexOnepieceOverallHTyrolean2",8632.0,"WWbNFkaxwJMGLSBYj"
"ancient belted robe","Blue","No","3640",910.0,"Light blue","Blue","1x1","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Elegant","formal","Yes","For sale","Kimono","L","TopsTexOnepieceKimonoLKanpukumen0",5518.0,"W2KoH5jp8b43CHbsK"
