"name","diy","stack_size","buy","sell","source","source_notes","version","filename","internal_id","unique_entry_id"
"bamboo lattice fence","Yes",50.0,"NFS",960.0,"Crafting",,"1.0.0","ItemFenceBamboo",3403.0,"XaLnmQsQ47HfHQ9g5"
"barbed-wire fence","Yes",50.0,"NFS",1980.0,"Crafting",,"1.0.0","ItemFenceBarbedWire",5213.0,"dNgibaR9jFqaDwuDZ"
"brick fence","Yes",50.0,"NFS",1200.0,"Crafting",,"1.0.0","ItemFenceWallRenga",3080.0,"WAzanA7e5MREzJdMh"
"Bunny Day fence","Yes",50.0,"NFS",2400.0,"Crafting",,"1.1.0a","ItemFenceEgg",12630.0,"CLQGhAfSNykpxrh3a"
"corral fence","Yes",50.0,"NFS",720.0,"Crafting",,"1.0.0","ItemFenceHorizontalWood",4349.0,"rqwqYy7Aphvh5zBSA"
"country fence","Yes",50.0,"NFS",720.0,"Crafting",,"1.0.0","ItemFenceLog",4350.0,"twwkbWJ8YsoJEy3j8"
"hedge","Yes",50.0,"NFS",55.0,"Crafting",,"1.2.0","ItemFenceIkegaki",12758.0,"TphLYSh2MdogHdheg"
"imperial fence","Yes",50.0,"NFS",1200.0,"Crafting",,"1.0.0","ItemFenceChinese",4354.0,"fHqt7TXfbhfKnPbwG"
"iron fence","Yes",50.0,"NFS",4500.0,"Crafting",,"1.0.0","ItemFenceSteel",4357.0,"RL5hL24NbwzE7zv3R"
"iron-and-stone fence","Yes",50.0,"NFS",3150.0,"Crafting",,"1.0.0","ItemFenceIronAndStone",5206.0,"kjSa4R6JQz2DtWQ2C"
"lattice fence","Yes",50.0,"NFS",960.0,"Crafting",,"1.0.0","ItemFenceLatiiceNatural",11712.0,"qBrhYgaCnEiQYouP6"
"rope fence","Yes",50.0,"NFS",3000.0,"Crafting",,"1.0.0","ItemFencePegRope",4352.0,"TpruAQnqeeYcDxPRj"
"simple wooden fence","Yes",50.0,"NFS",720.0,"Crafting; Tom Nook","50 fences are given by Tom Nook after completing the three house plots during the main storyline","1.0.0","ItemFenceNatural",11711.0,"bxF62vutvYBw9BTDT"
"spiky fence","Yes",50.0,"NFS",960.0,"Crafting",,"1.0.0","ItemFenceSharply",4358.0,"gYccyRpBzpFCLLW56"
"stone fence","Yes",50.0,"NFS",600.0,"Crafting",,"1.0.0","ItemFenceStone",5212.0,"ECNmTH3oh3SEDpHCr"
"straw fence","Yes",50.0,"NFS",560.0,"Crafting",,"1.0.0","ItemFenceDriedStraw",4356.0,"yp69uEZTdfS9CkisA"
"vertical-board fence","Yes",50.0,"NFS",960.0,"Crafting",,"1.0.0","ItemFenceVerticalWood",3402.0,"M9pkSgdAaKgQELi3E"
"wedding fence","Yes",50.0,"NFS",411.0,"Crafting",,"1.2.0","ItemFenceJuneBride",12894.0,"68uMh2zjCmeJukYhv"
"zen fence","Yes",50.0,"NFS",3300.0,"Crafting",,"1.0.0","ItemFenceJapanese",5207.0,"yZeqREzefxeSiLAaP"
