"index","name","sell","where_how","shadow","total_catches_to_unlock","spawn_rates","rain_snow_catch_up","nh_jan","nh_feb","nh_mar","nh_apr","nh_may","nh_jun","nh_jul","nh_aug","nh_sep","nh_oct","nh_nov","nh_dec","sh_jan","sh_feb","sh_mar","sh_apr","sh_may","sh_jun","sh_jul","sh_aug","sh_sep","sh_oct","sh_nov","sh_dec","color_1","color_2","size","lighting_type","icon_filename","critterpedia_filename","furniture_filename","internal_id","unique_entry_id"
56.0,"anchovy",200.0,"Sea","Small",0.0,"2–5","No","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","4 AM – 9 PM","Blue","Red","1x1","No lighting","Fish81","FishAntyobi","FtrFishAntyobi",4201.0,"LzuWkSQP55uEpRCP5"
36.0,"angelfish",3000.0,"River","Small",20.0,"2–5","No","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","Yellow","Black","1x1","Fluorescent","Fish30","FishAngelfish","FtrFishAngelfish",2247.0,"XTCFCk2SiuY5YXLZ7"
44.0,"arapaima",10000.0,"River","XX-Large",50.0,"1","Yes","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","Black","Blue","3x2","No lighting","Fish36","FishPiraruku","FtrFishPiraruku",2253.0,"mZy4BES54bqwi97br"
41.0,"arowana",10000.0,"River","Large",50.0,"1–2","No","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","Yellow","Black","2x1","Fluorescent","Fish33","FishArowana","FtrFishArowana",2250.0,"F68AvCaqddBJL7ZSN"
58.0,"barred knifejaw",5000.0,"Sea","Medium",20.0,"3–5","No","NA","NA","All day","All day","All day","All day","All day","All day","All day","All day","All day","NA","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","All day","White","Black","1x1","Fluorescent","Fish47","FishIshidai","FtrFishIshidai",2265.0,"X3R9SFSAaDzBF4fE3"
79.0,"barreleye",15000.0,"Sea","Small",100.0,"1","No","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","Black","Black","1x1","Fluorescent","Fish84","FishDemenigisu","FtrFishDemenigisu",4204.0,"BpqTa4zmTjv3Nm4wE"
37.0,"betta",2500.0,"River","Small",20.0,"1–4","No","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","9 AM – 4 PM","NA","NA","NA","NA","NA","NA","9 AM – 4 PM","9 AM – 4 PM","Light blue","Black","1x1","Fluorescent","Fish77","FishBeta","FtrFishBeta",4191.0,"7QcQXzwZoNGiNA94k"
1.0,"bitterling",900.0,"River","X-Small",0.0,"12–17","No","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","All day","All day","All day","NA","NA","NA","Light blue","Blue","1x1","No lighting","Fish0","FishTanago","FtrFishTanago",2215.0,"Drj6eLRBgg4T9KhNx"
22.0,"black bass",400.0,"River","Large",0.0,"4–12","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Green","Black","1x1","Fluorescent","Fish19","FishBlackbass","FtrFishBlackbass",2234.0,"wAZvfTca7GyaTtLcQ"
54.0,"blowfish",5000.0,"Sea","Medium",20.0,"5","No","9 PM – 4 AM","9 PM – 4 AM","NA","NA","NA","NA","NA","NA","NA","NA","9 PM – 4 AM","9 PM – 4 AM","NA","NA","NA","NA","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","NA","NA","NA","NA","Beige","Black","1x1","Fluorescent","Fish73","FishFugu","FtrFishFugu",2262.0,"aDsmTcByApycafxTa"
67.0,"blue marlin",10000.0,"Pier","XX-Large",50.0,"1–2","Yes","All day","All day","All day","All day","NA","NA","All day","All day","All day","NA","All day","All day","All day","All day","All day","NA","All day","All day","All day","All day","All day","All day","NA","NA","Blue","Black","2x1","Fluorescent","Fish58","FishKajiki","FtrFishKajiki",2275.0,"jhtsYRHydAcZnd6bJ"
