"name","vfx","diy","buy","sell","color_1","color_2","miles_price","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","tag","catalog","filename","internal_id","unique_entry_id"
"aqua tile flooring","No","No","900",225.0,"Light blue","Light blue","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Tile Floors","For sale","RoomTexFloorTile01",5036.0,"JmNGqRhEow3PH7bgk"
"arabesque flooring","No","No","2120",530.0,"Black","Gray","NA","Nook's Cranny",,"1.0.0","expensive","living room","None","Cloth Floors","For sale","RoomTexFloorArabesque00",4953.0,"4dabyuetmZD5dDdCH"
"arched-brick flooring","No","No","1100",275.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Arched Brick","For sale","RoomTexFloorArchBrick00",4998.0,"CSPoYJzCnzWjqWrj5"
"argyle tile flooring","No","No","1750",437.0,"White","Beige","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Tile Floors","For sale","RoomTexFloorTileWood00",4994.0,"BH8PqRSou2XjQ8ppQ"
"artsy parquet flooring","No","No","1800",450.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Simple Parquet","For sale","RoomTexFloorParquetArt00",5232.0,"fbfCzw546bWEF95Aq"
"backyard lawn","No","Yes","NFS",600.0,"Green","Green","NA","Crafting",,"1.0.0","garden","None","None","Grassland","Not for sale","RoomTexFloorLawn00",4979.0,"kANgKb2s4a6pMSjnd"
"bamboo flooring","No","Yes","NFS",2400.0,"Green","Beige","NA","Crafting",,"1.0.0","zen-style","None","bamboo","Nature - Green","Not for sale","RoomTexFloorBamboo00",4964.0,"gMeLjZdPobbrt58sT"
"basement flooring","No","Yes","NFS",1500.0,"Gray","Gray","NA","Crafting",,"1.0.0","horror","facility","None","Stone Floors","Not for sale","RoomTexFloorBasement00",4797.0,"DgaMSqGEyko87dD3H"
"beige desert-tile flooring","No","No","2100",525.0,"Beige","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Morocco","For sale","RoomTexFloorMorocco00",4965.0,"yhH3pNWq8L8j48tHW"
"berry-chocolates flooring","No","No","3000",750.0,"Pink","Pink","NA","Saharah",,"1.0.0","fancy","None","None","Chocolate","Not for sale","RoomTexFloorChocolate02",5053.0,"E7Mfi6saTnBEgW6o8"
"birch flooring","No","No","800",200.0,"White","White","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Wood Floors","For sale","RoomTexFloorBirch00",5032.0,"2tg7thFuaxAAiDTsv"
"black iron-parquet flooring","No","No","2350",587.0,"Black","White","NA","Nook's Cranny",,"1.0.0","expensive","living room","None","Iron Parquet","For sale","RoomTexFloorParquetIron02",5066.0,"24iNYeWLqkR2juaqx"
"black-brick flooring","No","No","1040",260.0,"Black","Black","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Brick","For sale","RoomTexFloorBrick02",4976.0,"9KuQFNKWxmCH4Wmvh"
"blue camo flooring","No","No","1320",330.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","party","child's room","None","Camouflage","For sale","RoomTexFloorCamouflage01",5016.0,"bGQTqfoWhW5TNdLM9"
"blue desert-tile flooring","No","No","2100",525.0,"Blue","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Morocco","For sale","RoomTexFloorMorocco01",4966.0,"zJsrCJgAeFsymNzjq"
"blue dot flooring","No","No","800",200.0,"Blue","Light blue","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Dot","For sale","RoomTexFloorDot04",5028.0,"cpSuDLw7NNyxB5fCs"
