"name","buy","sell","color_1","color_2","size","source","museum","version","interact","catalog","filename","internal_id","unique_entry_id"
"acanthostega","NFS",2000.0,"Beige","Brown","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilFirstFourLegs",4664.0,"LQkRP3kBn3T2jBboF"
"amber","NFS",1200.0,"Yellow","Yellow","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilAmber",294.0,"ANAhATcHWvAGEhRnt"
"ammonite","NFS",1100.0,"Beige","Brown","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilAmmonoidea",295.0,"ojNKnr4YRrmPi2gPo"
"ankylo skull","NFS",3500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilAnkylosaurusA",169.0,"QQjxKmQ8Aac9cSoM2"
"ankylo tail","NFS",2500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilAnkylosaurusC",171.0,"wLWBm2R727RC3qSL2"
"ankylo torso","NFS",3000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilAnkylosaurusB",170.0,"5QNzf5buPckabN6cR"
"anomalocaris","NFS",2000.0,"Black","Gray","1x1","Assessing fossils","Room 1","1.0.0","No","Not for sale","FtrFossilAnomalocaris",4651.0,"TYX964LM2tNZ3SYKC"
"archaeopteryx","NFS",1300.0,"Beige","Brown","1x1","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilArchaeopteryx",298.0,"ky9pkmc2fmK9thuFH"
"archelon skull","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilArchelonA",177.0,"cYZhXfyNiqZy2hgeM"
"archelon tail","NFS",3500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilArchelonB",178.0,"CtosFxKjG5nzLGi4t"
"australopith","NFS",1100.0,"Beige","Brown","1x1","Assessing fossils","Room 3","1.0.0","No","Not for sale","FtrFossilAustralopithecus",301.0,"vE5WQNHepjDb36K6g"
"brachio chest","NFS",5500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilBrachiosaurusB",4689.0,"FykMyEnM2Xhzd54x8"
"brachio pelvis","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilBrachiosaurusC",4690.0,"5zCdNszyap3Gs7hZY"
"brachio skull","NFS",6000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilBrachiosaurusA",4688.0,"bECfoiR8RoGTXmqCL"
"brachio tail","NFS",5500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilBrachiosaurusD",4691.0,"RTtavecsrgWSGLm7C"
"coprolite","NFS",1100.0,"Brown","Brown","1x1","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilCoprolite",296.0,"hKbRzACFb4D24W8HJ"
"deinony tail","NFS",2500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDeinonychusB",211.0,"e3NuAF5y9iv7J52Sv"
"deinony torso","NFS",3000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDeinonychusA",210.0,"NSe8AQvNigyZqmLzo"
"dimetrodon skull","NFS",5500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDimetrodonA",184.0,"sEuSt7ycajTAqSzKg"
"dimetrodon torso","NFS",5000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDimetrodonB",185.0,"LcbJqY3JzLcQRoPGT"
"dinosaur track","NFS",1000.0,"Beige","Brown","1x1","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilIchnology",300.0,"fJWu7dHhZuKxjRwTy"
"diplo chest","NFS",4000.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDiplodocusC",218.0,"ZYuR9spddLgaZawiY"
"diplo neck","NFS",4500.0,"Brown","Brown","2x2","Assessing fossils","Room 2","1.0.0","No","Not for sale","FtrFossilDiplodocusB",217.0,"odxoEbLSduTmarKkm"
