"name","variation","body_title","pattern","pattern_title","diy","body_customize","pattern_customize","kit_cost","buy","sell","color_1","color_2","size","miles_price","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","hha_set","interact","tag","outdoor","speaker_type","lighting_type","catalog","filename","variant_id","internal_id","unique_entry_id"
"acoustic guitar","Natural","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"Beige","Brown","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_0_0","0_0",383.0,"EpywQXABBcv2dipsP"
"acoustic guitar","Cherry","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"Red","Black","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_1_0","1_0",383.0,"K9she5Y4SuXA8MGBR"
"acoustic guitar","Brown","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"Brown","Black","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_2_0","2_0",383.0,"vLq9iphAvALBXazDr"
"acoustic guitar","Blue","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"Blue","Black","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_3_0","3_0",383.0,"nuqeFzNE5PneqGHaj"
"acoustic guitar","White","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"White","Black","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_4_0","4_0",383.0,"DotFsojrhCwrLZ3TF"
"acoustic guitar","Black","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"Black","Black","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_5_0","5_0",383.0,"RuRMFyvWnDC2SoG8m"
"acoustic guitar","Pink","Body","NA","NA","Yes","Yes","No","5","NFS",3210.0,"Pink","White","1x1","NA","Crafting",,"1.0.0","music","None","None","None","Yes","Musical Instrument","No","Does not play music","No lighting","Not for sale","FtrAcorsticguitar_Remake_6_0","6_0",383.0,"NWv9CJfSPtBTKoL4B"
"air circulator","White","NA","NA","NA","No","No","No","NA","1100",275.0,"White","White","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","office","None","None","Yes","Fan","Yes","Does not play music","No lighting","For sale","FtrCirculator_Remake_0_0","0_0",3821.0,"J4inuBziPCSGZNEPM"
"air circulator","Black","NA","NA","NA","No","No","No","NA","1100",275.0,"Black","Gray","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","office","None","None","Yes","Fan","Yes","Does not play music","No lighting","For sale","FtrCirculator_Remake_1_0","1_0",3821.0,"E2dZPSD94isFZWd2F"
"air circulator","Pink","NA","NA","NA","No","No","No","NA","1100",275.0,"Pink","Pink","1x1","NA","Nook's Cranny","Available in Nook's Cranny (either upgrade tier) in the unique furniture slot","1.0.0","living room","office","None","None","Yes","Fan","Yes","Does not play music","No lighting","For sale","FtrCirculator_Remake_2_0","2_0",3821.0,"uAY6FFGdXWeAG9gMa"
