"index","name","sell","where_how","weather","total_catches_to_unlock","spawn_rates","nh_jan","nh_feb","nh_mar","nh_apr","nh_may","nh_jun","nh_jul","nh_aug","nh_sep","nh_oct","nh_nov","nh_dec","sh_jan","sh_feb","sh_mar","sh_apr","sh_may","sh_jun","sh_jul","sh_aug","sh_sep","sh_oct","sh_nov","sh_dec","color_1","color_2","icon_filename","critterpedia_filename","furniture_filename","internal_id","unique_entry_id"
10.0,"agrias butterfly",3000.0,"Flying near flowers","Any except rain",20.0,"5","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","Pink","Green","Ins6","InsectMiirotateha","FtrInsectMiirotateha",620.0,"aj95rMzdbSbvZy9A2"
69.0,"ant",80.0,"On rotten turnips","Any weather",0.0,"0","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Black","White","Ins26","InsectAri","FtrInsectAri",588.0,"QZpmczZu4hW2a4Rpv"
14.0,"Atlas moth",3000.0,"On trees (any kind)","Any weather",20.0,"5","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","NA","NA","NA","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","Orange","Yellow","Ins10","InsectYonagunisan","FtrInsectYonagunisan",652.0,"u2GhYQJXDCQKp7AQ8"
68.0,"bagworm",600.0,"Shaking trees (hardwood or cedar only)","Any weather",0.0,"50","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Brown","Blue","Ins36","InsectMinomushi","FtrInsectMinomushi",622.0,"QvxgCm82JqHsDknY4"
34.0,"banded dragonfly",4500.0,"Flying near water","Any except rain",50.0,"7","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","Black","Yellow","Ins24","InsectOniyanma","FtrInsectOniyanma",635.0,"pCFep58D6QusMSvR7"
21.0,"bell cricket",430.0,"On the ground","Any except rain",0.0,"60","NA","NA","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","Black","Beige","Ins31","InsectSuzumushi","FtrInsectSuzumushi",642.0,"d5EQqbQsip82G2CZE"
49.0,"blue weevil beetle",800.0,"On palm trees","Any weather",0.0,"2","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Green","Pink","Ins80","InsectHousekizoumushi","FtrInsectHousekizoumushi",3485.0,"qocWy6r5RXjeThdYy"
26.0,"brown cicada",250.0,"On hardwood/cedar trees","Any weather",0.0,"70","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Brown","Green","Ins17","InsectAburazemi","FtrInsectAburazemi",582.0,"gBLRZ2J2R2wwYWFCk"
77.0,"centipede",300.0,"From hitting rocks","Any weather",0.0,"30","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","NA","NA","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","NA","NA","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","4 PM – 11 PM","Black","Orange","Ins60","InsectMukade","FtrInsectMukade",628.0,"ubStMQwHMJJcYje38"
31.0,"cicada shell",10.0,"On hardwood/cedar trees","Any weather",50.0,"1","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Brown","Green","Ins69","InsectSeminonukegara","FtrInsectSeminonukegara",641.0,"6s3MCahAroqpjGybW"
47.0,"citrus long-horned beetle",350.0,"On tree stumps","Any except rain",0.0,"10","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Black","Green","Ins39","InsectGomadarakamikiri","FtrInsectGomadarakamikiri",609.0,"QR88MPLzYxSCHWZJb"
5.0,"common bluebottle",300.0,"Flying","Any except rain",0.0,"70","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","Black","Green","Ins72","InsectAosujiageha","FtrInsectAosujiageha",3477.0,"vgkW2eovbpxNuGsFZ"
1.0,"common butterfly",160.0,"Flying","Any except rain",0.0,"60","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","White","Green","Ins0","InsectMonshirocho","FtrInsectMonshirocho",626.0,"tRJxp5N9XbwAGQHZc"
20.0,"cricket",130.0,"On the ground","Any except rain",0.0,"60","NA","NA","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","Brown","Beige","Ins30","InsectKohrogi","FtrInsectKohrogi",617.0,"Lr7eFJzJJZpWRWekm"
59.0,"cyclommatus stag",8000.0,"On palm trees","Any weather",100.0,"2","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Black","Ins49","InsectHosoakakuwagata","FtrInsectHosoakakuwagata",602.0,"moBevd7J5hwpHeLcs"
35.0,"damselfly",500.0,"Flying near water","Any except rain",0.0,"60","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","Green","Blue","Ins81","InsectItotonbo","FtrInsectItotonbo",5339.0,"pBmqsa7CyeKzyRjDT"
33.0,"darner dragonfly",230.0,"Flying near water","Any except rain",0.0,"40","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","Green","Green","Ins23","InsectGinyanma","FtrInsectGinyanma",595.0,"723NiWMh4iY9RJtAM"
39.0,"diving beetle",800.0,"On rivers/ponds","Any weather",0.0,"10","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","Black","Blue","Ins28","InsectGengorou","FtrInsectGengorou",594.0,"CBjt7itnPqEtNznrX"
53.0,"drone beetle",200.0,"On trees (any kind)","Any weather",0.0,"40","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","All day","Green","Blue","Ins75","InsectKanabun","FtrInsectKanabun",3480.0,"uXmtRAQgY3g596tov"
50.0,"dung beetle",3000.0,"Pushing snowballs","Any weather",0.0,"10","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","Black","Beige","Ins40","InsectFunkorogashi","FtrInsectFunkorogashi",604.0,"p9RhE8wLWpHtcoq5G"
51.0,"earth-boring dung beetle",300.0,"On the ground","Any weather",0.0,"30","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","Purple","Orange","Ins42","InsectOhsenchikogane","FtrInsectSenchikogane",614.0,"k2fqxdYnTF8BpHB7u"
9.0,"emperor butterfly",4000.0,"Flying near flowers","Any except rain",20.0,"5","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","5 PM – 8 AM","Blue","Orange","Ins5","InsectMorufuocho","FtrInsectMorufuocho",627.0,"Lwkf7oQ3mcWYm6eEY"
30.0,"evening cicada",550.0,"On hardwood/cedar trees","Any weather",0.0,"50","NA","NA","NA","NA","NA","NA","4 AM – 8 AM; 4 PM – 7 PM","4 AM – 8 AM; 4 PM – 7 PM","NA","NA","NA","NA","4 AM – 8 AM; 4 PM – 7 PM","4 AM – 8 AM; 4 PM – 7 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Orange","Ins20","InsectHigurashi","FtrInsectHigurashi",601.0,"kzX4apD9C3Nq8khzR"
36.0,"firefly",300.0,"Flying near water","Any except rain",0.0,"200","NA","NA","NA","NA","NA","7 PM – 4 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7 PM – 4 AM","Black","Blue","Ins41","InsectHotaru","FtrInsectHotaru",603.0,"PgiwPqykwafyz5EL6"
74.0,"flea",70.0,"On villagers","Any weather",0.0,"5–10","NA","NA","NA","All day","All day","All day","All day","All day","All day","All day","All day","NA","All day","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","All day","Brown","White","Ins56","InsectNomi","FtrInsectNomi",633.0,"QzDywoJEAJDcjGfEF"
72.0,"fly",60.0,"Flying near trash (boots, tires, cans) or rotten turnips","Any weather",0.0,"0","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Black","White","Ins59","InsectHae","FtrInsectHae",597.0,"xdBmuMgXJ6jGxpabK"
28.0,"giant cicada",500.0,"On hardwood/cedar trees","Any weather",20.0,"50","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Yellow","Ins65","InsectKumazemi","FtrInsectKumazemi",618.0,"nPm2r7idGshQW87MN"
57.0,"giant stag",10000.0,"On trees (any kind)","Any weather",50.0,"5","NA","NA","NA","NA","NA","NA","11 PM – 8 AM","11 PM – 8 AM","NA","NA","NA","NA","11 PM – 8 AM","11 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Black","Ins47","InsectOhkuwagata","FtrInsectOhkuwagata",637.0,"KhrTLzayFz23zz2kn"
40.0,"giant water bug",2000.0,"On rivers/ponds","Any weather",50.0,"5","NA","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","NA","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","NA","NA","NA","NA","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","Brown","Blue","Ins76","InsectTagame","FtrInsectTagame",5157.0,"ZsDdBvqAjZMG8EQkZ"
61.0,"giraffe stag",12000.0,"On palm trees","Any weather",100.0,"1","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Black","Ins77","InsectGirafanokogirikuwagata","FtrInsectGirafanokogirikuwagata",3482.0,"PSChjzMhGwhnsHTs4"
60.0,"golden stag",12000.0,"On palm trees","Any weather",100.0,"1","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Yellow","Ins50","InsectOugononikuwagata","FtrInsectOugononikuwagata",638.0,"2C8cSphidFCBPxYEe"
54.0,"goliath beetle",8000.0,"On palm trees","Any weather",100.0,"2","NA","NA","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","5 PM – 8 AM","5 PM – 8 AM","5 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","5 PM – 8 AM","Red","Black","Ins55","InsectGoraiasuohtsunohanamuguri","FtrInsectGoraiasuohtsunohanamuguri",596.0,"wZQMZfhtRyPFAapmF"
19.0,"grasshopper",160.0,"On the ground","Any except rain",0.0,"60","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","Green","Beige","Ins32","InsectKirigirisu","FtrInsectKirigirisu",613.0,"zkzSLJPkkcwXwShKc"
7.0,"great purple emperor",3000.0,"Flying near flowers","Any except rain",50.0,"5","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","Purple","Orange","Ins74","InsectOhmurasaki","FtrInsectOhmurasaki",3479.0,"ZSre7sheZoRqsJwHQ"
