"name","variation","body_title","pattern","pattern_title","diy","body_customize","pattern_customize","kit_cost","buy","sell","color_1","color_2","size","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","hha_set","interact","tag","outdoor","speaker_type","lighting_type","catalog","filename","variant_id","internal_id","unique_entry_id"
"accessories stand","White","NA","NA","NA","No","No","No","NA","1500",375.0,"White","Colorful","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","shop","None","None","No","Beauty","No","Does not play music","No lighting","For sale","FtrJewelrystand_Remake_0_0","0_0",3948.0,"GWNqLnfaoEkGSFFkF"
"accessories stand","Pink","NA","NA","NA","No","No","No","NA","1500",375.0,"Pink","Colorful","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","shop","None","None","No","Beauty","No","Does not play music","No lighting","For sale","FtrJewelrystand_Remake_1_0","1_0",3948.0,"Sg24qRStpGERdwjyn"
"accessories stand","Black","NA","NA","NA","No","No","No","NA","1500",375.0,"Black","Colorful","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","shop","None","None","No","Beauty","No","Does not play music","No lighting","For sale","FtrJewelrystand_Remake_2_0","2_0",3948.0,"e5hQbi4JvpYYtRSM7"
"accessories stand","Brown","NA","NA","NA","No","No","No","NA","1500",375.0,"Brown","Colorful","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","shop","None","None","No","Beauty","No","Does not play music","No lighting","For sale","FtrJewelrystand_Remake_3_0","3_0",3948.0,"BXBsfGQsnNfJqkQjm"
"accessories stand","Light blue","NA","NA","NA","No","No","No","NA","1500",375.0,"Light blue","Colorful","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","fancy","shop","None","None","No","Beauty","No","Does not play music","No lighting","For sale","FtrJewelrystand_Remake_4_0","4_0",3948.0,"jfpXGQCTjbg65PCD9"
"ACNH Nintendo Switch","NA","NA","NA","NA","No","No","No","NA","35960",8990.0,"Green","Light blue","1x1","Nintendo; Nook Shopping",,"1.1.0","child's room","living room","None","None","No","Game Console","No","Does not play music","Emission","For sale","FtrSwitchAC","NA",12579.0,"4AgPRnxhoQ922pQ4M"
"agrias butterfly model","NA","NA","NA","NA","No","No","No","NA","NFS",9000.0,"Pink","Purple","1x1","Flick","Trade 3 insects to receive a model in the mail the next day","1.0.0","None","None","None","None","No","Insect","No","Does not play music","No lighting","Not for sale","FtrInsectMiirotatehaToy","NA",7080.0,"6SKoKnXhrf2dk6JZb"
"aluminum briefcase","Stacks of cash","NA","NA","NA","No","No","No","NA","100000",25000.0,"Gray","Yellow","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","expensive","None","None","Yes","Office","No","Does not play music","No lighting","For sale","FtrDuralumincase_Remake_0_0","0_0",7453.0,"7ovsY7XPNCW3YQAJA"
"aluminum briefcase","Gold bars","NA","NA","NA","No","No","No","NA","100000",25000.0,"Gray","Yellow","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","expensive","None","None","Yes","Office","No","Does not play music","No lighting","For sale","FtrDuralumincase_Remake_1_0","1_0",7453.0,"Yympao5irjJgMNW6d"
"amp","Black","NA","NA","NA","No","No","No","NA","5100",1275.0,"Black","Brown","1x1","Nook's Cranny","Available in the re-buyable slot in Nook's Cranny","1.0.0","concert","None","None","None","No","Musical Instrument","No","Does not play music","No lighting","For sale","FtrAmp_Remake_0_0","0_0",849.0,"p7Drmf7Jh2eNhbcos"
