"name","diy","stack_size","buy","sell","miles_price","source","source_notes","tag","color_1","color_2","version","filename","internal_id","unique_entry_id"
"acorn","No",30.0,"NFS","200","NA","Shaking a hardwood tree (Fall)",,"NA","None","None","1.0.0","DIYAcorn",5727.0,"LWRPyLkySfCNkDvdv"
"apple","No",10.0,"400","500","NA","Apple tree",,"NA","None","None","1.0.0","Apple",2213.0,"iTWs2LBrcFu8XyDMF"
"apple tree","No",1.0,"NFS","300","NA","Planting an apple",,"Plants","None","None","1.0.0","PltApple4",3360.0,"4BFZn59FMC5eyCKXS"
"Aquarius fragment","No",10.0,"NFS","500","NA","Wishing on shooting stars (January 20 - February 18)",,"NA","None","None","1.0.0","StarpieceAquarius",5986.0,"sHWduQNusYLWRjhzb"
"arched tile path permit","No",1.0,"NFS",,"2000","Nook Miles Redemption","Found under the Special tab of the Nook Miles Redemption service.",,,,"1.0.0","FtrGroundMakerStonePattern",8776.0,"yDajuWo93WGgTR4bJ"
"Aries fragment","No",10.0,"NFS","500","NA","Wishing on shooting stars (March 21 - April 19)",,"NA","None","None","1.0.0","StarpieceAries",5988.0,"D5JE2Ypt5vZ3C4EM6"
"bamboo piece","No",30.0,"NFS","80","NA","Chopping a bamboo tree",,"NA","None","None","1.0.0","DIYBamboo",2501.0,"RJpF9Apqi52AqPP25"
"bamboo shoot","No",10.0,"NFS","250","NA","Dig spot near a bamboo tree",,"NA","None","None","1.0.0","BambooShoot",2295.0,"kTmS9FFMxJFuCS7vr"
"bamboo tree","No",1.0,"NFS","1500","NA","Planting a bamboo shoot",,"Plants","None","None","1.0.0","PltBamboo4",2815.0,"m6And8qdTfySMh9kR"
"Bell bag","No",99.0,"NFS","NA","NA","Glowing dig spot",,"NA","None","None","1.0.0","PhotoStudioBellBag",7731.0,"MwHcZBfqcJ5vJzRqZ"
"Bell voucher","No",1.0,"NFS",,"500","Nook Miles Redemption","Found under the Special tab of the Nook Miles Redemption service.",,,,"1.0.0","BellExchangeTicket",9964.0,"Ekx2qXMQw3nrBxbwC"
"birthday cupcake","No",10.0,"NFS","200","NA","Birthday",,"Seasonal Decor","None","None","1.0.0","BirthdayCupcake",2779.0,"Q5HRfFvkBvPw8TFPR"
"black cosmos","No",10.0,"NFS","240","NA","Picking flowers",,"Plants","Black","Green","1.0.0","FlwCosmosBlack",2875.0,"QveR5KriJ63ZvAmQs"
"black lilies","No",10.0,"NFS","80","NA","Picking flowers",,"Plants","Black","Green","1.0.0","FlwYuriBlack",2999.0,"GJEkbwJexHSSq3Kvp"
"black roses","No",10.0,"NFS","240","NA","Picking flowers",,"Plants","Black","Green","1.0.0","FlwRoseBlack",2955.0,"RAxXqgdwa6Jb3fKFX"
"black tulips","No",10.0,"NFS","80","NA","Picking flowers",,"Plants","Black","Green","1.0.0","FlwTulipBlack",2903.0,"WGvGEjXRYjucLHity"
