"name","buy","sell","color_1","color_2","size","source","source_notes","version","catalog","filename","internal_id","unique_entry_id"
"Admiral's poster",1000.0,250.0,"Green","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBrd06",10814.0,"3LW8HyqLZTJRaGQT9"
"Agent S's poster",1000.0,250.0,"Blue","Gray","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlSqu05",10425.0,"bZu92nbNfGmQvp54D"
"Agnes's poster",1000.0,250.0,"Pink","Black","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPig17",10401.0,"2wZBfe8Ed7QMvQ8tX"
"Al's poster",1000.0,250.0,"Red","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlGor08",10590.0,"sat2PG8L97DymZbQw"
"Alfonso's poster",1000.0,250.0,"Orange","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCrd00",10382.0,"NjW35Zc7MnTipYZbg"
"Alice's poster",1000.0,250.0,"Beige","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlKal01",10411.0,"M89MiTg6MwBt38bYC"
"Alli's poster",1000.0,250.0,"Light blue","Red","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlCrd01",10655.0,"6yDr388PQngpmfKyw"
"Amelia's poster",1000.0,250.0,"Red","White","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlPbr01",10687.0,"xDPzyfpuH42GzRP25"
"Anabelle's poster",1000.0,250.0,"Yellow","Blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlAnt03",10800.0,"BpX27retKhbmi8f3F"
"Anchovy's poster",1000.0,250.0,"Brown","Light blue","1x1","Nook's Shopping - Posters","In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)","1.0.0","For sale","PosterNpcNmlBrd02",10782.0,"fNnTbreeuJ9AxCA6M"
