"name","index_1","material_1","index_2","material_2","index_3","material_3","index_4","material_4","index_5","material_5","index_6","material_6","buy","sell","miles_price","source","source_notes","recipes_to_unlock","version","category","serial_id","internal_id","unique_entry_id"
"acorn pochette",6.0,"acorn",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Fall",0.0,"1.0.0","Bags",2982.0,632.0,"a9FFbP64fTcJ3Cn5E"
"acoustic guitar",8.0,"softwood",3.0,"iron nugget",,,,,,,,,"NFS",200.0,"NA","Smug villagers",,0.0,"1.0.0","Housewares",406.0,44.0,"Y62RymJYgbmZEyQon"
"angled signpost",2.0,"hardwood",3.0,"softwood",,,,,,,,,"NFS",200.0,"NA","Lazy villagers",,100.0,"1.0.0","Housewares",440.0,510.0,"BNiDaivRjGNzCckWw"
"apple chair",10.0,"apple",4.0,"wood",,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,100.0,"1.0.0","Housewares",1700.0,189.0,"HB55bMQf4D57ekNf4"
"apple dress",8.0,"apple",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,100.0,"1.0.0","Dresses",1782.0,621.0,"KmfTvhh3qeyd6WcFJ"
"apple hat",5.0,"apple",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,100.0,"1.0.0","Headwear",1781.0,622.0,"5ABmQxkN3SatETcEg"
"apple rug",6.0,"apple",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,100.0,"1.0.0","Rugs",1770.0,542.0,"5noTnXTTPzBfbsaz2"
"apple umbrella",7.0,"apple",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,100.0,"1.0.0","Umbrellas",1780.0,623.0,"N2aQCn6hYqjw2ijPX"
"apple wall",20.0,"apple",,,,,,,,,,,"NFS",200.0,"NA","Big Sister villagers",,100.0,"1.0.0","Wallpaper",1750.0,304.0,"7azjirioafcXyzPHB"
"Aquarius urn",3.0,"star fragment",2.0,"Aquarius fragment",2.0,"gold nugget",5.0,"stone",,,,,"NFS",200.0,"NA","Celeste",,0.0,"1.0.0","Housewares",2310.0,366.0,"NGfmzz4ndL9MvLG2F"
"Aries rocking chair",3.0,"star fragment",2.0,"Aries fragment",1.0,"gold nugget",5.0,"stone",,,,,"NFS",200.0,"NA","Celeste",,0.0,"1.0.0","Housewares",2300.0,367.0,"XXJwFRCG4m9Q4xe6y"
"armor shoes",4.0,"iron nugget",,,,,,,,,,,"NFS",200.0,"NA","Cranky villagers",,100.0,"1.0.0","Shoes",982.0,642.0,"zbzh6s369wZ3anypo"
"aroma pot",3.0,"clay",,,,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,0.0,"1.0.0","Miscellaneous",704.0,30.0,"BTu3bRj64f2dwdDXa"
"asteroid",5.0,"star fragment",10.0,"stone",,,,,,,,,"NFS",200.0,"NA","Celeste",,0.0,"1.0.0","Housewares",2203.0,235.0,"BPNHraJWRXYZahLoJ"
"astronaut suit",5.0,"star fragment",5.0,"iron nugget",,,,,,,,,"NFS",200.0,"NA","Celeste",,0.0,"1.0.0","Housewares",2220.0,236.0,"sczENjHH7XW8e2n3Q"
"autumn wall",10.0,"maple leaf",5.0,"wood",5.0,"clump of weeds",,,,,,,"NFS",200.0,"NA","Balloons","Only available during Maple Leaf Season",0.0,"1.0.0","Wallpaper",2950.0,290.0,"vjyWT27sydFDoYjhF"
"axe",1.0,"flimsy axe",3.0,"wood",1.0,"iron nugget",,,,,,,"NFS",200.0,"NA","Pretty Good Tools Recipes","Purchase Pretty Good Tools Recipes via Nook Miles Redemption",0.0,"1.0.0","Tools",102.0,271.0,"b3QE9sXE7w5KCXkS5"
"backyard lawn",30.0,"clump of weeds",,,,,,,,,,,"NFS",200.0,"NA","Peppy villagers",,0.0,"1.0.0","Floors",1261.0,487.0,"pCoJi3w8hqsWKsBvz"
"bamboo basket",7.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Housewares",2409.0,152.0,"y7Zjyax97JJo6k4oJ"
"bamboo bench",8.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Normal villagers",,50.0,"1.0.0","Housewares",2401.0,46.0,"iRBcw227DDdksTz3J"
"bamboo candleholder",3.0,"bamboo piece",2.0,"clay",,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Miscellaneous",2402.0,153.0,"9FCcnLSsxLXkR2NEA"
"bamboo doll",6.0,"young spring bamboo",,,,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Spring",0.0,"1.0.0","Housewares",2500.0,158.0,"gc6yP5HuqTxEGBK48"
"bamboo drum",3.0,"bamboo piece",2.0,"softwood",,,,,,,,,"NFS",200.0,"NA","Jock villagers",,50.0,"1.0.0","Miscellaneous",2413.0,397.0,"K5pwygoJtxAXbj7db"
"bamboo floor lamp",8.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Normal villagers",,50.0,"1.0.0","Housewares",2410.0,159.0,"47AeakgHNdNvSvLRb"
"bamboo flooring",15.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Cranky villagers",,50.0,"1.0.0","Floors",2460.0,485.0,"JyK3oMGwWg46SZ7M6"
"bamboo hat",10.0,"clump of weeds",,,,,,,,,,,"NFS",200.0,"NA","Cranky villagers",,0.0,"1.0.0","Headwear",1284.0,607.0,"p6dWvgRwv6574A7md"
"bamboo lattice fence",6.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"1000","Nook Miles Exchange",,0.0,"1.0.0","Fencing",2490.0,101.0,"kFi2XW9eoPkAoWdS5"
"bamboo lunch box",4.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Miscellaneous",2406.0,421.0,"ejw8RfXvq8vPJuLod"
"bamboo noodle slide",7.0,"young spring bamboo",3.0,"wood",,,,,,,,,"NFS",200.0,"NA","Balloons; Isabelle","Only available during Spring",0.0,"1.0.0","Housewares",2502.0,424.0,"P9SmzDkYdcYuPmRop"
"bamboo partition",7.0,"bamboo piece",6.0,"stone",,,,,,,,,"NFS",200.0,"NA","Cranky villagers",,50.0,"1.0.0","Housewares",2403.0,157.0,"6B3A3RrMHHYeGnDR4"
"bamboo shelf",15.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Housewares",2405.0,155.0,"ATFSAKswogCggcGbd"
"bamboo speaker",3.0,"bamboo piece",1.0,"iron nugget",,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Housewares",2411.0,591.0,"59rwk7hPFaeWEX7AY"
"bamboo sphere",3.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Normal villagers",,50.0,"1.0.0","Miscellaneous",2404.0,420.0,"4DSiABqB4KvShtQdM"
"bamboo stool",5.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Snooty villagers",,50.0,"1.0.0","Housewares",2400.0,590.0,"cSywc8qQTGtF5PTqT"
"bamboo stopblock",3.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Jock villagers",,50.0,"1.0.0","Housewares",2412.0,154.0,"g6cSM6je3YN47KiMD"
"bamboo wall",15.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Cranky villagers",,50.0,"1.0.0","Wallpaper",2450.0,322.0,"BYCNmo3a3HZQXWqHK"
"bamboo wall decoration",1.0,"bamboo piece",,,,,,,,,,,"NFS",200.0,"NA","Jock villagers",,50.0,"1.0.0","Wall-mounted",2430.0,151.0,"Xb2ywJv5tsDeSKG2H"
"bamboo wand",6.0,"young spring bamboo",3.0,"star fragment",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Spring",0.0,"1.0.0","Tools",2590.0,538.0,"Z5FSewP6wM2McqRCJ"
"bamboo-grove wall",7.0,"young spring bamboo",3.0,"bamboo shoot",,,,,,,,,"NFS",200.0,"NA","Balloons","Only available during Spring",0.0,"1.0.0","Wallpaper",2551.0,300.0,"YEqTcFmBecj7pp4XX"
"bamboo-shoot lamp",4.0,"young spring bamboo",5.0,"bamboo shoot",4.0,"clay",,,,,,,"NFS",200.0,"NA","Balloons","Only available during Spring",0.0,"1.0.0","Miscellaneous",2504.0,385.0,"kdfzcoLwkhis8mbtR"
"barbed-wire fence",3.0,"hardwood",2.0,"iron nugget",,,,,,,,,"NFS",200.0,"1000","Nook Miles Exchange",,0.0,"1.0.0","Fencing",585.0,561.0,"dgW8J3q4JWsyyrDxP"
"barbell",10.0,"iron nugget",,,,,,,,,,,"NFS",200.0,"NA","Jock villagers",,0.0,"1.0.0","Housewares",914.0,395.0,"A3fKpbNzYnRZwYMbx"
"barrel",5.0,"wood",2.0,"iron nugget",,,,,,,,,"NFS",200.0,"NA","Tom Nook; Cranky villagers","Obtained during the main storyline during the villager house development quest",0.0,"1.0.0","Housewares",431.0,165.0,"QBxsHQZ8DpGYE7d8S"
