"name","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","tag","catalog","filename","internal_id","unique_entry_id"
"aluminum rug","No","1500",375.0,"Gray","Gray","3x2","NA","Saharah","Medium rug","1.0.0","garden","outdoors","None","Slender Rugs","For sale","RugRectAluminumM00",7356.0,"vFkuGbx8Sh2MDLEsq"
"apple rug","Yes","NFS",1200.0,"Red","Red","3x3","NA","Crafting","Medium rug","1.0.0","fancy","child's room","fruits","Fruit Rugs","Not for sale","RugOtherAppleM00",7327.0,"5GsjYsaz9NDtQ6QFB"
"Bell-bag rug","No","NFS",6000.0,"None","None","3x3","1200","Nook Miles Shop","Medium rug","1.2.0","expensive","None","None","Park Rugs","Not for sale","RugOtherBellM00",12214.0,"KfRapmYKpizqQWzCg"
"black blocks rug","No","1500",375.0,"Black","Gray","3x3","NA","Saharah","Medium rug","1.0.0","living room","None","None","Pattern Rugs","For sale","RugSquareBlockM03",11104.0,"4kj8FXzMTqvZvqEra"
"black wooden-deck rug","No","1500",375.0,"Black","Black","3x2","NA","Saharah","Medium rug","1.0.0","outdoors","None","None","Wood Rugs","For sale","RugRectDeckM03",7382.0,"kQDKkEGfdAjqPxd4w"
"black-design kitchen mat","No","1000",250.0,"Black","Orange","2x1","NA","Saharah","Small rug","1.0.0","kitchen","None","None","Kitchen Rugs","For sale","RugRectNativeKitchenS03",7594.0,"G7CAPiAEpYv6QKbsL"
"blue argyle rug","No","2000",500.0,"Blue","Green","4x3","NA","Saharah","Large rug","1.0.0","living room","expensive","None","Slender Pattern Rugs","For sale","RugRectArgyleL02",8467.0,"uw8DvCwwBia7ozA72"
"blue blocks rug","No","1500",375.0,"Blue","Blue","3x3","NA","Saharah","Medium rug","1.0.0","living room","None","None","Pattern Rugs","For sale","RugSquareBlockM01",11102.0,"Mjxd8kenDFZgTFXcm"
"blue dotted rug","No","2000",500.0,"Blue","Blue","4x3","NA","Saharah","Large rug","1.0.0","fancy","child's room","None","Slender Pattern Rugs","For sale","RugRectDotL03",7467.0,"JAAx9zSMrjXKKw2ij"
"blue kilim-style carpet","No","2000",500.0,"Blue","Black","5x5","NA","Saharah","Large rug","1.0.0","living room","None","None","Pattern Rugs","For sale","RugSquareKirimL01",9316.0,"MhvdxvmyKtddid2G2"
"blue kitchen mat","No","1000",250.0,"Blue","Blue","2x1","NA","Saharah","Small rug","1.0.0","kitchen","None","None","Kitchen Rugs","For sale","RugRectKitchenS02",8394.0,"SLBDbK365pHRnKE5k"
"blue medium round mat","No","1500",375.0,"Blue","Blue","3x3","NA","Saharah","Medium rug","1.0.0","living room","child's room","None","Shaggy Round Rugs","For sale","RugRoundSimpleM02",9546.0,"JfLKCbWRz4CozZYpH"
"blue message mat","No","1000",250.0,"Blue","Blue","2x1","NA","Saharah","Small rug","1.0.0","child's room","None","None","Message Mats","For sale","RugOtherMessageS01",9310.0,"5grLuDzGkNL4DYk4r"
"blue Persian rug","No","2000",500.0,"Blue","Beige","5x5","NA","Saharah","Large rug","1.0.0","expensive","living room","None","Pattern Rugs","For sale","RugSquarePersianL01",8035.0,"CDY97qjWg4xG6egyS"
