"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"antique boots","Brown","No","2640",660.0,"Brown","Brown","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; fairy tale","No","For sale","ShoesKneeAntique0",5523.0,"jQ9MMJXSCde9q8NPP"
"antique boots","Black","No","2640",660.0,"Black","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; fairy tale","No","For sale","ShoesKneeAntique1",11689.0,"hpTunJzb4CJPueMW7"
"antique boots","Greige","No","2640",660.0,"Beige","Beige","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; fairy tale","No","For sale","ShoesKneeAntique2",11690.0,"ngk8sGuhSHQoBmwqv"
"armor shoes","Gray","Yes","NFS",3000.0,"Gray","Gray","1x1","NA","Crafting",,"All Year","No","1.0.0","Cool","fairy tale; goth","No","Not for sale","ShoesKneeKnightIron",5472.0,"osBLFxSiCDnRf8eXR"
"babouches","Blue","No","560",140.0,"Light blue","White","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush0",6043.0,"AvkHgWmEW5vTs4Ckc"
"babouches","Orange","No","560",140.0,"Orange","White","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush1",10109.0,"hzHj4PYSRpa8fkQey"
"babouches","Pink","No","560",140.0,"Pink","White","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush2",10110.0,"KrfcX2z6gFKZziGwx"
"babouches","Yellow","No","560",140.0,"Yellow","White","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush3",10111.0,"BRTZYzjci4T3qodP8"
"babouches","Gray","No","560",140.0,"Gray","Yellow","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush4",10112.0,"N9jHqLCE8WsfZxJHo"
"babouches","Purple","No","560",140.0,"Purple","Yellow","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush5",10113.0,"sth7EXmjdbwzk439A"
"babouches","Mint","No","560",140.0,"Green","Yellow","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush6",10114.0,"okW9rusWLMPm4bcDz"
"babouches","Red","No","560",140.0,"Red","Yellow","1x1","NA","Kicks",,"All Year","No","1.0.0","Cute","comfy; vacation","No","For sale","ShoesSandalBaboush7",10115.0,"EZKKTpCAN4CEvJJwC"
"ballet slippers","Pink","No","2200",550.0,"Pink","Pink","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet0",5608.0,"uABG45ozFPCwrBXuS"
"ballet slippers","Mint","No","2200",550.0,"Light blue","Light blue","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet1",10155.0,"bE4c36LYqcRmkajHL"
"ballet slippers","Blue","No","2200",550.0,"Blue","Blue","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet2",10156.0,"jJ565rnrzozyhRNYP"
"ballet slippers","Purple","No","2200",550.0,"Purple","Purple","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet3",10157.0,"kuEQdTi7ZXLw5AZgR"
"ballet slippers","Black","No","2200",550.0,"Black","Black","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet4",10158.0,"oQNLiop5Do6CH5eTu"
"ballet slippers","White","No","2200",550.0,"Beige","Beige","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet5",10159.0,"cQt3ftJejYwuPrqWS"
"ballet slippers","Yellow","No","2200",550.0,"Yellow","Yellow","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet6",10160.0,"Qv7eADgLwdsNuSBZZ"
"ballet slippers","Red","No","2200",550.0,"Orange","Orange","1x1","NA","Kicks",,"All Year","No","1.0.0","Elegant","fairy tale; sporty; theatrical; work","No","For sale","ShoesLowcutBallet7",10161.0,"CpLSLkvz3Jo982p6e"
