"name","variation","body_title","diy","customize","kit_cost","uses","stack_size","buy","sell","color_1","color_2","size","set","miles_price","source","source_notes","version","filename","variant_id","internal_id","unique_entry_id"
"axe","NA","NA","Yes","No","NA","100",1.0,"2500",625.0,"None","None","1x1","None","NA","Nook's Cranny; Crafting",,"1.0.0","ToolAxe","NA",2100.0,"iR9zzEhzpbXTGdkR4"
"bamboo wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",3900.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickBamboo","NA",7590.0,"YLjDYt9NhwTgoXhLD"
"bug wand","NA","NA","No","No","NA","Unlimited",1.0,"NFS",1500.0,"None","None","1x1","None","NA","Bug-Off",,"1.0.0","ToolStcikInsect","NA",8769.0,"vqp4KBeWgZjYbFj7Z"
"Bunny Day wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",11100.0,"None","None","1x1","None","NA","Crafting",,"1.1.0a","ToolStickEgg","NA",12578.0,"26wk773sY75rKY2P4"
"cherry-blossom wand","NA","NA","Yes","No","NA","Unlimited",1.0,"NFS",2700.0,"None","None","1x1","None","NA","Crafting",,"1.0.0","ToolStickCherryblossom","NA",7589.0,"WHHbg5ZqTMu4J2wm5"
"colorful fishing rod","Yellow","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_0_0","0_0",8472.0,"ZTf6fzMoETiRSgYyv"
"colorful fishing rod","Orange","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_1_0","1_0",8472.0,"9RuY2ZBRztSNDRrfy"
"colorful fishing rod","Light blue","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_2_0","2_0",8472.0,"8PASMoPi9YgSBQ2LK"
"colorful fishing rod","Pink","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_3_0","3_0",8472.0,"sfSivSgSps27Jaz5M"
"colorful fishing rod","Green","Color","No","Yes","1","30",1.0,"2500",625.0,"None","None","1x1","Colorful Tools","NA","Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","ToolFishingrodDuck_Remake_4_0","4_0",8472.0,"vnSiERDKYDcddtuv6"
