"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"A tee","NA","No","560",140.0,"Blue","White","1x1","NA","Nook Shopping Catalog",,"All Year","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHAce0",8532.0,"7XCg953t2tGAPuzaR"
"acid-washed jacket","Blue","No","1680",420.0,"Blue","Blue","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Simple","everyday; outdoorsy","Yes","For sale","TopsTexTopOuterLChemical0",5289.0,"zAiLmCwSaWADqXkRf"
"acid-washed jacket","Black","No","1680",420.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; outdoorsy","Yes","For sale","TopsTexTopOuterLChemical1",9538.0,"K96PFk2AuQFqPrKH3"
"after-school jacket","Black","No","1050",262.0,"Black","Red","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen0",4366.0,"rAfEdHYdt5e4AGTya"
"after-school jacket","Berry red","No","1050",262.0,"Red","Green","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen1",7554.0,"mGvZuvYbGma2REd6A"
"after-school jacket","Green","No","1050",262.0,"Green","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen2",7555.0,"YHLqiyRYuF8BwEgaF"
"after-school jacket","White","No","1050",262.0,"White","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen3",7556.0,"N6nbrMGHwztxBWTMm"
"after-school jacket","Purple","No","1050",262.0,"Purple","Blue","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen4",7557.0,"svQfLQXgrowTDaDoh"
"after-school jacket","Gray","No","1050",262.0,"Gray","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen5",7558.0,"m279zqujD3zTbp44a"
"after-school jacket","Blue","No","1050",262.0,"Blue","Purple","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopYshirtsLGakuranopen6",7559.0,"KzNwELnmeCmWBQMoD"
"animal-print coat","Blue","No","2320",580.0,"Blue","Light blue","1x1","NA","Able Sisters","Available from Able Sisters shop only","Winter","Yes","1.0.0","Cute","everyday","Yes","For sale","TopsTexTopCoatLAnimal0",4465.0,"ozg6yMkXQzsmkjPsW"
"animal-print coat","Green","No","2320",580.0,"Green","Green","1x1","NA","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Cute","everyday","Yes","For sale","TopsTexTopCoatLAnimal1",8449.0,"gWnBj8n2ZKrm8j8zf"
"animal-print coat","Purple","No","2320",580.0,"Purple","Purple","1x1","NA","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Cute","everyday","Yes","For sale","TopsTexTopCoatLAnimal2",8450.0,"jKHbF6WwExfSBPBww"
"animal-print coat","Pink","No","2320",580.0,"Pink","Pink","1x1","NA","Able Sisters","Available from Able Sisters shop only","Winter","No","1.0.0","Cute","everyday","Yes","For sale","TopsTexTopCoatLAnimal3",8451.0,"rsgnoR4TBYBqJMXBg"
"animal-stripes tee","Tiger","No","960",240.0,"Yellow","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHStripe0",8198.0,"WTG2RBsXk5cimHsis"
"animal-stripes tee","Zebra","No","960",240.0,"Gray","Black","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","Summer","No","1.0.0","Cool","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHStripe1",12066.0,"gkjWimKdm6sMgiTw8"
"annyeong tee","NA","No","640",160.0,"Light blue","White","1x1","NA","Nook Shopping Catalog",,"All Year","No","1.0.0","Simple","everyday; comfy","Yes","For sale","TopsTexTopTshirtsHHellokr0",12117.0,"mfMor9YWpsoEbPK5e"
"anorak jacket","Camel","No","1400",350.0,"Beige","Beige","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","Yes","For sale","TopsTexTopCoatLAnorak0",4793.0,"agpR79ZTHcuQheDdF"
"anorak jacket","Red","No","1400",350.0,"Red","Red","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","Yes","For sale","TopsTexTopCoatLAnorak1",9308.0,"Ws4vh3dya8i8nPtJ9"
"anorak jacket","Blue","No","1400",350.0,"Blue","Blue","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","No","1.0.0","Simple","everyday; outdoorsy","Yes","For sale","TopsTexTopCoatLAnorak2",9309.0,"BaiWuWNL9muLeYYkQ"
"apron","Orange","No","840",210.0,"Orange","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron0",3228.0,"LTZqXvkrNxza2nMPb"
"apron","Green","No","840",210.0,"Green","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron1",9595.0,"d5kmhJqzcK6uT3iJr"
"apron","Blue","No","840",210.0,"Blue","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron2",9596.0,"sc9Mtxn3PWuAtCtWt"
"apron","Pink","No","840",210.0,"Pink","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron3",9597.0,"yT7c96mMafv5QEddb"
"apron","Light blue","No","840",210.0,"Light blue","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron4",9598.0,"EbD6WxjrdSDosTkPa"
"apron","Purple","No","840",210.0,"Purple","White","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; work","Yes","For sale","TopsTexTopCoatHApron5",9599.0,"GRb6jZGaZzWdsmYuj"
