"name","variation","body_title","pattern","pattern_title","diy","body_customize","pattern_customize","kit_cost","buy","sell","color_1","color_2","size","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","hha_set","interact","tag","outdoor","lighting_type","door_deco","catalog","filename","variant_id","internal_id","unique_entry_id"
"air conditioner","White","NA","NA","NA","No","No","No","NA","63000",15750.0,"White","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","facility","None","None","Yes","Air Conditioning","No","No lighting","No","For sale","FtrAirconditioner_Remake_0_0","0_0",929.0,"7EpH4QiWWq6i7j4yp"
"air conditioner","Gray","NA","NA","NA","No","No","No","NA","63000",15750.0,"Gray","Gray","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","facility","None","None","Yes","Air Conditioning","No","No lighting","No","For sale","FtrAirconditioner_Remake_1_0","1_0",929.0,"iWBEC2WbBHnk4ikm3"
"air conditioner","Black","NA","NA","NA","No","No","No","NA","63000",15750.0,"Black","Black","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","facility","None","None","Yes","Air Conditioning","No","No lighting","No","For sale","FtrAirconditioner_Remake_2_0","2_0",929.0,"wPNpj6gofFKDMneeS"
"air conditioner","Pink","NA","NA","NA","No","No","No","NA","63000",15750.0,"Pink","Pink","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","facility","None","None","Yes","Air Conditioning","No","No lighting","No","For sale","FtrAirconditioner_Remake_3_0","3_0",929.0,"SyG8yuDJjnxjRRAYJ"
"air conditioner","Blue","NA","NA","NA","No","No","No","NA","63000",15750.0,"Light blue","Light blue","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","facility","None","None","Yes","Air Conditioning","No","No lighting","No","For sale","FtrAirconditioner_Remake_4_0","4_0",929.0,"fBngP3empPftMfnsB"
"air conditioner","Brown","NA","NA","NA","No","No","No","NA","63000",15750.0,"Brown","Brown","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","office","facility","None","None","Yes","Air Conditioning","No","No lighting","No","For sale","FtrAirconditioner_Remake_5_0","5_0",929.0,"B5d8BvAPL6TJeYMZB"
"antique phone","Brown","NA","NA","NA","No","No","No","NA","16000",4000.0,"Brown","Yellow","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Home Appliances","No","No lighting","No","For sale","FtrAntiquePhoneW_Remake_0_0","0_0",3953.0,"hJBB3R4NDJrTGhQK7"
"antique phone","Natural","NA","NA","NA","No","No","No","NA","16000",4000.0,"Beige","Yellow","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Home Appliances","No","No lighting","No","For sale","FtrAntiquePhoneW_Remake_1_0","1_0",3953.0,"6EomSi8yTfRRCoxwn"
"antique phone","Black","NA","NA","NA","No","No","No","NA","16000",4000.0,"Black","Yellow","1x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the third unique furniture slot","1.0.0","living room","expensive","antique","None","No","Home Appliances","No","No lighting","No","For sale","FtrAntiquePhoneW_Remake_2_0","2_0",3953.0,"SSHmqTAWCt99jDNq8"
"autograph cards","Signature","NA","Musician's signature","Signature","No","No","Yes","1","1400",350.0,"White","White","2x1","Nook's Cranny","Available in Nook's Cranny (upgraded only), in the unique furniture slot","1.0.0","school","den","None","None","No","Study","No","No lighting","No","For sale","FtrAutograph_Remake_0_0","0_0",1899.0,"HpebEX4QbjWeQGmPb"
