"name","variation","diy","buy","sell","color_1","color_2","size","miles_price","source","source_notes","seasonal_availability","mannequin_piece","version","style","label_themes","type","villager_equippable","catalog","filename","internal_id","unique_entry_id"
"3D glasses","White","No","490",122.0,"White","Colorful","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party","AccessoryEye","Yes","For sale","AccessoryGlassThreed0",4463.0,"FNxEraBTeWRiCvtFu"
"3D glasses","Black","No","490",122.0,"Black","Colorful","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Active","party","AccessoryEye","Yes","For sale","AccessoryGlassThreed1",11020.0,"mM9SXPCcGPfPJAmtm"
"bandage","Beige","No","140",35.0,"Beige","White","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Active","outdoorsy; comfy; sporty","AccessoryMouth","No","For sale","AccessoryMouthBandageSkin",4677.0,"2qFT5iPkk8bREvpkj"
"beak","Yellow","No","490",122.0,"Yellow","Yellow","1x1","NA","Able Sisters","Available from either Mable's temporary shop or Able Sisters shop","All Year","Yes","1.0.0","Cute","fairy tale; party; theatrical","AccessoryMouthInvisibleNose","No","For sale","AccessoryMouthBeakYellow",3549.0,"T5CpsJi4xBSachNL5"
"birthday shades","Yellow","No","NFS",620.0,"Yellow","Red","1x1","NA","Birthday",,"All Year","No","1.0.0","Gorgeous","party","AccessoryEye","Yes","Not for sale","AccessoryGlassBirthday0",4510.0,"S6CiB9ZvzBTMhEnDz"
"birthday shades","Pink","No","NFS",620.0,"Pink","Pink","1x1","NA","Birthday",,"All Year","No","1.0.0","Gorgeous","party","AccessoryEye","Yes","Not for sale","AccessoryGlassBirthday1",11217.0,"g3MPcmAKM4z5h8KYX"
"birthday shades","Red","No","NFS",620.0,"Red","Pink","1x1","NA","Birthday",,"All Year","No","1.0.0","Gorgeous","party","AccessoryEye","Yes","Not for sale","AccessoryGlassBirthday2",11218.0,"ojXoAAj8Bs2XgRiWB"
"birthday shades","Blue","No","NFS",620.0,"Light blue","Green","1x1","NA","Birthday",,"All Year","No","1.0.0","Gorgeous","party","AccessoryEye","Yes","Not for sale","AccessoryGlassBirthday3",11219.0,"Yr9mRJaZM44554oTS"
"bottom-rimmed glasses","Red","No","1100",275.0,"Red","Red","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose0",4597.0,"ZHqtvcoqqDpJLf9Pc"
"bottom-rimmed glasses","Purple","No","1100",275.0,"Purple","Purple","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose1",11081.0,"akRhFD3qeJEPM7WiD"
"bottom-rimmed glasses","Green","No","1100",275.0,"Green","Green","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose2",11082.0,"EtxJZDCgnqjWkETqK"
"bottom-rimmed glasses","Blue","No","1100",275.0,"Blue","Blue","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose3",11083.0,"LEbiXtkHoiEMEtjWK"
"bottom-rimmed glasses","Yellow","No","1100",275.0,"Yellow","Yellow","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose4",11084.0,"w7bEbAGSQTvur6D6f"
"bottom-rimmed glasses","Pink","No","1100",275.0,"Pink","Pink","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","Yes","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose5",11085.0,"zpzD4NjApEyazKyKt"
"bottom-rimmed glasses","Black","No","1100",275.0,"Black","Black","1x1","NA","Able Sisters","Available from Able Sisters shop only","All Year","No","1.0.0","Simple","everyday; comfy; work","AccessoryEye","Yes","For sale","AccessoryGlassLoose6",11086.0,"eT6KLntq43nCGFvB9"
